semestre,anio,periodo_label,cuentas_falsas_registro_millones,pct_detenidas_proactivamente,fuente
2020-H2,2020,"2020 Jul-Dic",11.6,,LinkedIn Community Report (oficial)
2021-H2,2021,"2021 Jul-Dic",11.9,,LinkedIn Community Report (oficial)
2022-H1,2022,"2022 Ene-Jun",16.4,,LinkedIn Community Report (oficial)
2024-H1,2024,"2024 Ene-Jun",70.1,,LinkedIn Community Report (via Rest of World)
2024-H2,2024,"2024 Jul-Dic",80.6,99.7,LinkedIn Community Report (via Rest of World / Prospect Magazine)
2025-H1,2025,"2025 Ene-Jun",83.4,,LinkedIn Community Report (via VerityAI)
2025-H2,2025,"2025 Jul-Dic",,99.7,LinkedIn Community Report (oficial, cifra absoluta no publicada en texto)
